id;name;display_name;description;group_mapper_enabled;group_claim_name;group_mapper_full_path;created_by;last_modified_by
scope-openid;openid;OpenID;OpenID Connect identity scope.;false;groups;true;system;system
scope-profile;profile;Profile;Basic user profile claims.;false;groups;true;system;system
scope-user-read;user.read;User read;Read user information.;false;groups;true;system;system
scope-user-write;user.write;User write;Update user information.;false;groups;true;system;system
scope-admin-api;admin-api;Admin API;Access the administration API.;true;groups;true;system;system
scope-account-api;account-api;Account API;Access the account API.;false;groups;true;system;system
scope-email;email;Email;Email address and verification status.;false;groups;true;system;system
