action_key;display_name;description;enabled;global_policy;version;priority;created_by;created_at;updated_at
UPDATE_PROFILE;Complete your profile;Provide the required profile information.;false;false;1;10;system;2026-01-01T00:00:00;2026-01-01T00:00:00
TERMS_AND_CONDITIONS;Accept the terms and conditions;Review and accept the current terms.;false;true;1;20;system;2026-01-01T00:00:00;2026-01-01T00:00:00
UPDATE_EMAIL;Confirm your new email address;Confirm the email address waiting for verification.;true;true;1;30;system;2026-01-01T00:00:00;2026-01-01T00:00:00
DELETE_ACCOUNT;Confirm account deletion;Confirm the requested account deletion.;false;false;1;40;system;2026-01-01T00:00:00;2026-01-01T00:00:00
UPDATE_PASSWORD;Update password;Choose a new password before continuing.;true;true;1;5;system;2026-01-01T00:00:00;2026-01-01T00:00:00
CONFIGURE_TOTP;Configure authenticator app;Register an authenticator app and verify a code.;true;true;1;15;system;2026-01-01T00:00:00;2026-01-01T00:00:00
