id;registration_id;provider_type;display_name;alias;icon_key;short_state_parameter;case_sensitive_username;enabled;hide_on_login;account_linking_only;trust_email;mfa_required;required_claims;store_tokens;stored_tokens_readable;gui_order;show_in_account_console;client_id;client_secret_encrypted;authorization_uri;token_uri;user_info_uri;jwk_set_uri;issuer_uri;client_authentication_method;scopes;user_name_attribute;created_by;last_modified_by
google;google;google;Google;google;google;false;false;false;false;false;false;false;sub;false;false;10;always;;;;;;;;client_secret_basic;openid,profile,email;sub;system;
github;github;github;GitHub;github;github;false;false;false;false;false;false;false;id;false;false;20;always;;;;;;;;client_secret_basic;read:user,user:email;id;system;
linkedin;linkedin;linkedin;LinkedIn;linkedin;linkedin;false;false;false;false;false;false;false;sub;false;false;30;always;;;;;;;;client_secret_post;openid,profile,email;sub;system;
microsoft;microsoft;microsoft;Microsoft;microsoft;microsoft;false;false;false;false;false;false;false;sub;false;false;40;always;;;;;;;;client_secret_post;openid,profile,email;sub;system;
